date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2014-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-51
2014-06-01,camelbak_water_bottle,CamelBak,0.007936507936507936,6,2012-02-01,28
2014-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-72
2014-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-50
2014-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-98
2014-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-99
2014-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-50
2014-07-01,camelbak_water_bottle,CamelBak,0.007692307692307692,6,2012-02-01,29
2014-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-71
2014-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-49
2014-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-97
2014-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-98
2014-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-49
2014-08-01,camelbak_water_bottle,CamelBak,0.0078125,6,2012-02-01,30
2014-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-70
2014-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-48
2014-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-96
2014-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-97
2014-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-48
2014-09-01,camelbak_water_bottle,CamelBak,0.0078125,6,2012-02-01,31
2014-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-69
2014-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-47
2014-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-95
2014-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-96
